ID base 10,ID base 16,Byte 0,Byte 1,Value 1,Byte 2,Byte 3,Value 2,Byte 4,Byte 5,Value 3,Byte 6,Byte 7,Value 4
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,36B,0,0,0,0,0,0,0,0,0,0,0,0
875,363,3,245,1013,0,0,0,0,0,0,0,0,0
867,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,3E6,0,0,0,0,0,0,0,0,0,0,0,0
998,37F,0,0,0,0,0,0,0,0,0,0,0,0
895,36C,4,83,1107,0,0,0,0,0,0,0,0,0
876,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,3E7,0,0,0,0,0,0,0,0,0,0,0,0
999,360,3,245,1013,0,0,0,0,0,0,0,0,0
864,368,0,0,0,3,183,951,0,0,0,0,0,0
872,3EA,3,228,996,0,0,0,0,0,0,0,0,0
1002,360,0,0,0,0,0,0,0,0,0,0,0,0
864,372,0,0,0,3,182,950,0,0,0,0,0,0
882,361,0,118,118,0,0,0,252,11,64523,3,245,1013
865,29E,0,0,0,0,0,0,0,0,0,0,0,0
670,3EA,0,9,9,44,240,11504,251,153,64409,161,169,41385
1002,3E9,0,0,0,0,0,0,0,0,0,0,0,0
1001,3E5,0,0,0,0,0,0,3,133,901,0,0,0
997,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,363,0,0,0,0,0,0,0,0,0,0,0,0
867,360,0,0,0,0,0,0,0,0,0,0,0,0
864,36B,0,0,0,3,182,950,0,0,0,0,0,0
875,36C,3,245,1013,0,0,0,0,0,0,0,0,0
876,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,361,0,0,0,0,0,0,0,0,0,0,0,0
865,37F,0,0,0,0,0,0,0,0,0,0,0,0
895,29E,4,84,1108,0,0,0,0,0,0,0,0,0
670,3EA,0,9,9,53,224,13792,47,47,12079,117,233,30185
